"","Package","LibPath","Version","Priority","Built"
"aws.s3","aws.s3","/Users/mm09532/Library/R/3.4/library","0.3.12",NA,"3.4.4"
"aws.signature","aws.signature","/Users/mm09532/Library/R/3.4/library","0.4.4",NA,"3.4.4"
"clisymbols","clisymbols","/Users/mm09532/Library/R/3.4/library","1.2.0",NA,"3.4.0"
"desc","desc","/Users/mm09532/Library/R/3.4/library","1.2.0",NA,"3.4.4"
"dplyr","dplyr","/Users/mm09532/Library/R/3.4/library","0.7.6",NA,"3.4.4"
"e1071","e1071","/Users/mm09532/Library/R/3.4/library","1.7-0",NA,"3.4.4"
"enc","enc","/Users/mm09532/Library/R/3.4/library","0.2.0",NA,"3.4.3"
"gdata","gdata","/Users/mm09532/Library/R/3.4/library","2.18.0",NA,"3.4.0"
"ggplot2","ggplot2","/Users/mm09532/Library/R/3.4/library","3.0.0.9000",NA,"3.4.2"
"gh","gh","/Users/mm09532/Library/R/3.4/library","1.0.1",NA,"3.4.1"
"glue","glue","/Users/mm09532/Library/R/3.4/library","1.3.0",NA,"3.4.4"
"gplots","gplots","/Users/mm09532/Library/R/3.4/library","3.0.1",NA,"3.4.0"
"gtools","gtools","/Users/mm09532/Library/R/3.4/library","3.8.1",NA,"3.4.4"
"ini","ini","/Users/mm09532/Library/R/3.4/library","0.3.1",NA,"3.4.4"
"mmlib","mmlib","/Users/mm09532/Library/R/3.4/library","0.6.3",NA,"3.4.2"
"mmviz","mmviz","/Users/mm09532/Library/R/3.4/library","0.1.0",NA,"3.4.2"
"Rcpp","Rcpp","/Users/mm09532/Library/R/3.4/library","0.12.18",NA,"3.4.4"
"rematch2","rematch2","/Users/mm09532/Library/R/3.4/library","2.0.1",NA,"3.4.1"
"ROCR","ROCR","/Users/mm09532/Library/R/3.4/library","1.0-7",NA,"3.4.0"
"skimr","skimr","/Users/mm09532/Library/R/3.4/library","1.0.3",NA,"3.4.4"
"styler","styler","/Users/mm09532/Library/R/3.4/library","1.0.2",NA,"3.4.4"
"usethis","usethis","/Users/mm09532/Library/R/3.4/library","1.3.0",NA,"3.4.3"
"acepack","acepack","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.1",NA,"3.4.0"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"babynames","babynames","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.2",NA,"3.4.3"
"base","base","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-3",NA,"3.4.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.66.0-1",NA,"3.4.3"
"bindr","bindr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.1",NA,"3.4.4"
"bindrcpp","bindrcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.2",NA,"3.4.4"
"bit","bit","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-14",NA,"3.4.4"
